,DATE,EURO,forecast
0,2019-01-31,41964.5,
1,2019-02-28,46968.17999999999,
2,2019-03-31,34524.950000000004,
3,2019-04-30,45741.399999999994,
4,2019-05-31,86749.00999999998,
5,2019-06-30,57233.49999999999,
6,2019-07-31,42820.09,
7,2019-08-31,30698.27,
8,2019-09-30,51004.15999999999,
9,2019-10-31,66695.24,
10,2019-11-30,92337.35,
11,2019-12-31,72395.49,
12,2020-01-31,45038.450000000026,
13,2020-02-29,62646.109999999986,
14,2020-03-31,47700.86999999999,
15,2020-04-30,39743.19000000002,
16,2020-05-31,37541.420000000006,
17,2020-06-30,36741.54000000001,
18,2020-07-31,47687.24000000001,
19,2020-08-31,36949.490000000005,
20,2020-09-30,34718.55999999998,
21,2020-10-31,33503.26,
22,2020-11-30,35044.50000000001,
23,2020-12-31,43105.480000000025,
24,2021-01-31,54193.40999999999,
25,2021-02-28,26710.039999999994,
26,2021-03-31,27069.919999999984,
27,2021-04-30,49140.719999999994,
28,2021-05-31,33768.21000000001,
29,2021-06-30,38141.240000000005,
30,2021-07-31,44781.87999999999,
31,2021-08-31,64059.78999999999,
32,2021-09-30,49130.73,66180.54609032947
33,2021-10-31,48906.070000000014,90786.85175604955
34,2021-11-30,46743.23,117490.50940048166
35,2021-12-30,,
36,2022-01-30,,
37,2022-02-28,,133777.73154483677
38,2022-03-30,,
39,2022-04-30,,157416.3179284017
40,2022-05-30,,
41,2022-06-30,,173235.40455492196
42,2022-07-30,,
43,2022-08-30,,
44,2022-09-30,,220343.54017394688
45,2022-10-30,,
46,2022-11-30,,269189.5959892065
47,2022-12-30,,
