,EURO,Seasonal_First_Difference,forecast
2019-01-31,60654,,
2019-02-28,64397,3743.0,
2019-03-31,33131,-31266.0,
2019-04-30,34339,1208.0,
2019-05-31,107863,73524.0,
2019-06-30,51264,-56599.0,
2019-07-31,42522,-8742.0,
2019-08-31,58560,16038.0,
2019-09-30,53956,-4604.0,
2019-10-31,55375,1419.0,
2019-11-30,42591,-12784.0,
2019-12-31,64486,21895.0,
2020-01-31,71232,6746.0,
2020-02-29,72820,1588.0,
2020-03-31,37270,-35550.0,
2020-04-30,38133,863.0,
2020-05-31,37666,-467.0,
2020-06-30,25541,-12125.0,
2020-07-31,44050,18509.0,
2020-08-31,49364,5314.0,
2020-09-30,24054,-25310.0,
2020-10-31,26573,2519.0,
2020-11-30,20993,-5580.0,
2020-12-31,52749,31756.0,
2021-01-31,87582,34833.0,
2021-02-28,47151,-40431.0,
2021-03-31,23877,-23274.0,
2021-04-30,42705,18828.0,
2021-05-31,39849,-2856.0,
2021-06-30,39506,-343.0,
2021-07-31,33027,-6479.0,
2021-08-31,59663,26636.0,
2021-09-30,39478,-20185.0,40041.77406415246
2021-10-31,41582,2104.0,43344.93845887689
2021-11-30,21586,-19996.0,33796.29316197104
2021-12-31,6657,-14929.0,60756.80306118506
2022-01-31,,,81582.9788769566
2022-02-28,,,62067.96728022278
2022-03-31,,,32683.31986477045
2022-04-30,,,42573.518559118376
2022-05-31,,,40905.9547752526
2022-06-30,,,34700.82910027743
2022-07-31,,,40654.708032211376
2022-08-31,,,56681.85156060218
2022-09-30,,,34230.147679725684
2022-10-31,,,37143.1478205659
2022-11-30,,,29569.120607597477
2022-12-31,,,58915.649293577204
